"GSM3433436"	"GSM3433437"	"GSM3433438"	"GSM3433439"
"RPL34"	618.7991	944.6583	598.7438	605.0529
"GPR115"	17.52088	41.18924	10.92099	49.50435
"GPR111"	104.6519	76.78873	94.78188	126.4118
"SCARF2"	1751.38	1534.332	841.0478	1206.653
"HIF3A"	13.97245	18.32944	13.45932	35.32122
"BTN3A1"	25.36551	22.19975	1.287081	31.32619
"LGALS14"	16.73258	18.94409	8.876131	57.39883
"C19orf36"	41.82644	57.87418	19.89504	40.90559
"MSX1"	1446.756	2086.751	1114.143	1342.092
"SCDR10"	424.5934	360.0929	159.3648	173.1402
"SRP46"	1794.617	2200.298	1267.384	1438.944
"MRPL30"	127.6078	139.1261	214.7127	144.5839
"C14orf54"	26.49854	25.84587	15.75737	49.4443
"MGC23909"	643.2077	1020.697	1565.497	2081.088
"HOXB5"	1107.445	935.6624	801.3407	1149.837
"GPX3"	266.0867	359.9758	125.1041	111.1458
"ARMCX2"	3387.885	3353.245	5203.133	6951.438
"SEC14L1"	544.5995	324.4101	352.8999	332.5638
"CARD6"	212.2345	193.7734	160.3424	134.3659
"GYS2"	7.304698	18.21831	10.84905	45.7744
"C8orf35"	1281.056	1197.896	1215.613	1195.372
"NPAL3"	3683.67	2598.574	2181.774	1713.087
"AKAP2"	3.357017	9.586473	-2.138731	43.56725
"DENND2C"	149.3801	197.1256	318.2154	259.3652
"C20orf7"	1083.681	2040.426	1170.788	1392.713
"RANBP2L1"	4.307187	10.31531	68.43896	201.5202
"AGPAT7"	233.5695	311.5107	106.0713	207.9454
"FAM33A"	97.86716	107.7955	236.1083	276.7849
"KCNC4"	74.09399	54.86763	21.68748	53.49706
"ST6GALNAC4"	909.6072	1259.274	445.9137	367.5532
"ASB7"	32.06713	40.21233	21.87646	59.65496
"CD8B1"	1.196851	3.600451	-9.105493	21.81483
"GCNT2"	-9.341881	7.874221	0.9038507	29.09116
"NPC1"	1689.108	1083.701	1363.682	1037.681
"EEF1A1"	41349.16	18926.42	23967.22	27544.62
"MT1E"	232.0144	111.8476	72.20454	56.50245
"HAND2"	24.65023	15.64493	6.726416	32.51921
"NUP50"	152.7552	187.338	122.4198	161.7883
"TH"	50.44322	69.39742	32.26226	62.15513
"LRRC24"	0.1160081	12.17361	-6.507516	30.69393
"APOL6"	29.12598	11.5726	14.17684	56.50294
"C6orf188"	101.1064	125.1739	60.07944	117.0683
"BDH"	66.62988	53.7458	18.93546	30.5267
"SIL1"	8613.857	7442.51	4221.652	4393.195
"GAGE1"	-1.190984	5.213564	-0.2001446	30.73852
"TSRC1"	183.1986	176.6922	134.317	156.8365
"MLLT4"	39.83954	35.72135	10.54943	37.51828
"CCL4"	-8.302126	2.360328	-11.51719	33.6513
"RPL36"	15945.93	14448.43	7376.797	7956.899
"CD151"	4442.069	5879.434	1574.201	2116.388
"RENT1"	1238.575	1134.326	485.3304	567.0847
"STRN4"	448.1277	475.4798	231.7256	329.2616
"SNN"	233.3134	92.91766	188.9557	225.6512
"C1orf38"	47.68607	46.72024	18.58276	45.14717
"PAPOLB"	-3.286932	-0.006178021	-6.548743	29.60954
"NSUN5C"	72.26389	132.9052	13.82061	42.25271
"TRPV5"	12.01512	16.50315	23.20218	61.67932
"PPA1"	6960.833	8499.008	10201.05	8174.16
"MLSTD1"	3.450099	15.47741	4.76933	24.91604
"C1QB"	-8.793295	4.669889	-3.549091	28.24271
"PELI2"	50.97267	45.09344	86.90486	157.346
"POMC"	23.80502	57.62923	9.405667	50.90807
"ALKBH"	295.2272	425.9395	197.8785	211.123
"ATP6V0A1"	6461.623	4024.811	4704.284	5049.834
"SIGLEC6"	231.7263	204.9009	554.2141	712.9984
"ZNF434"	1008.003	939.9039	651.6038	809.9843
"EIF3S4"	8047.936	7762.296	2972.91	3356.788
"FSD1NL"	21.04351	38.96808	15.0117	53.88959
"SULT1A2"	214.4609	257.6646	100.4219	84.37674
"CTLA4"	79.88842	55.92279	43.13194	79.56867
"TGFB3"	1956.28	1128.281	1554.966	1019.896
"TIRAP"	27.35282	32.36034	8.169856	39.54068
"PRRT1"	100.0381	113.79	63.41826	102.7396
"EXOSC1"	376.7209	343.2935	225.0923	368.3694
"PPY"	7.41679	21.90697	0.04849245	37.87536
"VTN"	5844.808	5751.942	2706.924	1930.392
"OR13G1"	29.14694	11.3778	5.509346	28.50136
"TEK"	49.78215	56.38347	38.94855	73.2114
"EIF3S5"	8556.831	7256.36	4779.431	3987
"HOXB8"	129.767	166.272	107.5604	136.4159
"GSDMDC1"	2011.113	1803.616	944.052	715.7271
"ATP5F1"	5447.935	4843.993	4491.675	4206.657
"C14orf35"	201.7171	233.6403	388.685	455.3258
"CCNB3"	6.964722	10.40137	15.3104	33.34842
"F2RL3"	7.715624	14.96264	29.47258	61.02677
"CTSF"	3618.969	3754.157	815.6241	835.6179
"ATP12A"	14.05465	2.465968	8.480071	34.60562
"RSAD2"	272.0374	126.2739	121.6191	206.526
"EIF3S2"	8558.022	9135.269	3865.115	4141.623
"DPP10"	22.62185	25.74539	43.43373	91.54745
"RFXDC2"	46.55626	33.32183	169.4453	235.2834
"TAF7L"	3.250423	19.31882	-1.051859	46.72646
"LOC283174"	60.42469	50.649	38.28903	76.19872
"C1QA"	-3.183436	8.524641	-1.147916	34.44301
"VWF"	199.4261	237.7315	71.7749	106.9526
"SH3MD2"	974.2194	1269.817	1010.06	1637.342
"OR1I1"	-1.491751	9.498416	-2.802752	26.60419
"EIF2B5"	1479.209	1107.379	612.9089	578.4435
"TTYH2"	129.8857	124.0091	43.3033	56.33325
"C22orf19"	805.2114	769.7113	460.067	597.8674
"ACOX1"	486.5204	694.7476	315.9893	504.2067
"CCDC19"	398.2903	360.3896	252.4653	377.044
"TCL6"	3.972201	2.067366	-2.016334	21.98548
"KIAA0664"	427.4866	291.283	141.7182	159.7188
"WDR26"	229.8749	257.3566	1015.491	970.6854
"HOXA7"	82.12034	55.82819	68.2611	72.17233
"CDC42SE1"	174.2941	241.4825	101.9335	171.0184
"NDUFS6"	22584.42	17615.75	13103.67	15517.38
"RBAF600"	1957.019	1521.028	911.2059	1157.478
"LGR7"	4.046351	0.7326211	-3.841382	18.67636
"FLJ36046"	7.404329	11.14831	4.717346	23.54642
"DMAP1"	1621.944	1871.838	946.5429	1088.519
"C9orf50"	41.05325	40.63661	21.5788	62.10693
"BCDO2"	716.8327	634.3255	400.9959	601.8925
"PHEX"	22.99979	22.76212	-4.395042	33.1122
"FOXJ1"	12.64392	12.80359	7.539051	29.49867
"HOXC11"	14.73229	19.52628	5.239762	18.45367
"HRIHFB2122"	178.3293	328.323	79.22622	123.806
"KLF16"	43.78854	37.22636	19.81843	74.09908
"SPRR1B"	5.236969	12.0485	-3.494393	26.17377
"CENTG2"	425.5897	401.28	394.6036	321.9278
"LGALS1"	34601.96	17022.85	14042.45	16414
"CDC14B"	101.8354	146.7686	73.314	94.68733
"SNRPF"	3192.897	3145.838	2042.857	1920.777
"OR11H1"	9.471418	19.05792	-1.577503	30.00332
"PARD6A"	319.2834	281.2867	167.8081	193.2285
"ITGB2"	358.1949	221.8213	268.2141	248.5332
"EPB41L4A"	50.18964	31.42949	27.62171	48.62038
"RAB18"	107.9962	106.1683	729.9291	763.4785
"FLJ90757"	259.3358	158.7533	138.5736	168.646
"EIF5B"	260.8969	160.7102	1312.692	1266.143
"BCKDK"	6608.778	5007.627	3634.376	3661.977
"KREMEN1"	85.5743	79.51556	11.75277	63.34349
"KRTAP6-3"	1.427499	1.193594	-8.332731	27.93777
"DGUOK"	49.22552	42.46003	15.71624	50.77959
"VPS36"	429.9407	412.873	2141.09	1868.726
"KIF3A"	19.0971	15.06033	45.10881	99.7957
"SMOC1"	7.333651	16.34404	7.753542	46.24692
"GTDC1"	81.34395	97.6948	83.64045	120.6207
"ARL4D"	255.2323	272.6386	188.1253	210.8741
"GOLGA3"	3543.855	2742.451	2875.493	3711.641
"KIAA1906"	10.78787	16.11134	-2.301683	36.57661
"FKRP"	153.089	154.1073	72.29951	132.3097
"FAM48A"	-1.992297	0.8197595	-2.928152	27.00311
"PHLDA1"	1455.503	1158.429	590.788	705.712
"NARF"	886.3384	1025.628	306.8217	561.3967
"ELOF1"	1075.222	1472.194	308.9339	356.6442
"WFDC13"	-3.107958	7.109679	-0.3513164	37.17104
"GADD45B"	1033.051	5438.522	579.7174	2638.437
"TMEPAI"	1720.206	5658.048	1455.354	7329.451
"ACSBG2"	39.90247	73.86573	32.48962	107.4011
"PDCL"	93.34583	92.98475	158.304	227.8987
"CNOT2"	1370.638	1312.707	1273.946	1236.199
"COL6A1"	4795.923	3978.698	2001.985	2105.651
"AHR"	9837.513	5823.148	12736.44	16113.39
"PPP1R9B"	19.78543	50.24972	8.394724	35.85837
"FUCA2"	1273.745	1080.621	680.5175	526.0221
"FOXD1"	401.0522	620.4047	345.0201	588.4554
"CAPN5"	1284.169	721.8277	595.7576	591.3123
"THSD3"	549.9552	393.4834	250.6237	143.6847
"COMMD4"	7.692297	0.515514	-0.8796284	28.51439
"MIPOL1"	19.28761	8.304715	45.24427	77.6832
"UHRF2"	298.1886	228.9385	345.1617	367.5286
"RPL37"	327.2188	441.964	431.0646	514.1323
"FLJ37562"	93.16185	112.3511	423.5575	535.4641
"DNAI2"	40.66703	33.36272	18.57403	80.52573
"ST14"	25.30459	18.67432	6.244068	24.48167
"NOL5A"	6197.922	6615.986	3740.491	3774.985
"MGC42630"	88.53194	87.47296	131.2077	176.9219
"C10orf85"	111.5693	162.2299	76.88155	276.2427
"COL4A3"	15.84027	12.97802	9.51865	99.81669
"ESM1"	8.263974	136.9876	26.25822	321.5325
"HOXD10"	13.45442	16.53001	3.299406	34.56258
"HOXA11"	33.83213	55.51946	6.279104	53.2529
"BNIP3L"	1608.112	1242.609	3009.55	2653.968
"CYLC2"	27.25949	9.038484	8.231621	41.19431
"EIF2S3"	3299.997	3276.067	3122.909	2999.826
"DSCR5"	451.7179	573.2175	718.7465	773.8965
"TRPC6"	5.524456	4.853706	-8.66504	18.55331
"ALMS1"	86.0029	82.37054	132.7225	210.0335
"ABCC11"	26.5261	24.63784	10.70778	35.8621
"CEP1"	22.59661	11.83873	33.31255	66.48449
"NFASC"	14.20247	5.577878	21.5157	35.51353
"WNT6"	21.19869	14.44243	4.010045	54.05782
"SDFR1"	2386.687	2266.289	3916.147	5421.447
"VMAC"	53.83447	44.58252	22.55723	61.6692
"RIMBP2"	256.9699	364.6951	525.7997	533.244
"FAM91A1"	87.1827	103.5028	113.3001	180.2312
"GRPEL2"	395.9425	1379.874	1368.436	3883.941
"XKR6"	221.7831	255.2582	119.9574	190.0419
"IL3"	23.60122	9.599112	2.99672	38.80115
"ANGPT4"	-1.757685	14.30286	0.8868599	32.80677
"FLJ10945"	9.672914	17.44885	-2.258628	29.53014
"TOMM40L"	1.953713	12.25896	-0.5362406	30.60781
"LAMC1"	10160.44	6787.456	12013.77	11296.23
"AGPAT3"	451.6247	284.0758	219.824	276.0074
"TXNDC"	1193.294	1257.747	3697.217	4069.418
"RAD52B"	53.72819	65.24781	23.87109	70.20567
"GRLF1"	74.83741	52.25195	55.73921	82.23272
"RAB5C"	1407.032	2099.764	1006.722	1121.63
"SLC34A2"	22.31299	11.91908	3.813547	34.60184
"DAPK1"	2010.247	383.1838	1733.831	889.3862
"UQCRH"	3273.667	5330.286	8172.429	8621.492
"HOXA4"	298.3212	518.5455	163.2315	394.1466
"CMIP"	1771.352	1550.481	1219.611	1858.118
"ZNF501"	-1.606621	5.564126	3.930745	37.05205
"METTL7A"	978.6575	1118.806	2718.782	3747.74
"KCNJ5"	14.68196	5.003236	-6.278545	27.25136
"MPZ"	6.546573	12.94858	-3.064293	32.105
"TMEM50B"	200.4058	178.3506	160.1016	192.2957
"GLI2"	210.6706	331.9593	116.4023	369.5579
"LRP16"	688.6667	785.9818	247.9466	180.4478
"GALT"	6.112222	12.44106	5.957945	19.74866
"MYOD1"	30.44047	16.501	8.238115	41.89037
"B3GNT1"	72.8535	41.89159	69.58295	79.94597
"bA16L21.2.1"	351.2832	437.2242	792.0056	626.5591
"HOXB1"	30.3951	35.22297	27.80763	65.194
"FLJ46247"	7.01019	11.72313	-0.8723638	32.2904
"KPTN"	111.0841	92.9808	45.8584	68.0433
"PDGFD"	1146.676	1031.771	3052.825	1669.328
"BTF3"	1135.308	722.903	1103.638	1010.611
"DPM2"	102.6368	102.5268	57.19547	65.91116
"HOXB4"	425.8519	286.5643	390.596	484.4689
"SAP30"	498.869	801.5255	1603.208	1232.154
"UNQ689"	13.35474	8.263408	-4.968793	27.3122
"HOXA9"	255.2031	280.8364	391.1268	515.9203
"KIAA1128"	124.3222	75.19817	547.3806	586.8503
"CPVL"	1641.083	1718.246	1096.574	885.2059
"LOC92017"	17.03942	9.749542	14.98419	37.48314
"FLJ90036"	3.612128	8.340549	6.850742	56.15096
"GLMN"	105.1379	97.69054	224.0142	257.6618
"KRTHB4"	30.9061	19.61736	25.94508	55.50336
"FZD4"	1053.837	1055.286	948.0162	1642.616
"CKLFSF4"	30.07952	20.31201	6.540679	41.62275
"SLITL2"	8957.558	7476.496	4807.44	5212.534
"PDE4B"	-1.682443	-7.671262	-8.651697	20.90854
"MGC4399"	15.11791	38.39706	95.39268	113.7479
"LOC205251"	1811.292	1671.492	769.6827	666.682
"FLJ37078"	38.21359	179.9883	13.19688	54.42111
"CASP8"	4.233862	8.142124	4.459263	23.94145
"LCN1"	32.6778	41.15692	23.91824	56.04086
"MTMR1"	46.24935	20.64742	-2.699761	33.74279
"LONRF1"	121.7294	64.35098	105.2728	184.8247
"ZNF703"	35.06821	84.90533	95.72446	218.0502
"RPL35"	19988.22	16460.42	8879.745	9594.09
"PLCD1"	337.3437	332.4903	109.2231	115.0309
"MOCS1"	71.515	70.22243	44.91863	78.34399
"F10"	51.96363	111.7633	14.28441	57.09753
"LOC388969"	180.4149	160.9957	116.6585	166.4281
"EIF3S1"	267.4948	257.7427	1117.06	1025.254
"ITGAM"	36.05574	31.84779	24.12341	43.78509
"AGPS"	217.3461	250.4579	329.6471	392.6832
"RPLP2"	25772.44	16644.05	12192.22	12714.69
"CFTR"	39.07882	26.19447	20.55847	60.40976
"RGS13"	7.618382	-2.07332	-4.259858	33.35822
"SLC26A11"	390.5518	232.5786	220.5819	248.4445
"NUMBL"	204.5586	127.8387	90.73137	152.969
"LOC116143"	319.3033	318.8923	320.4539	341.2915
"SNX13"	145.3172	153.6523	422.3687	451.2101
"KLHL1"	-7.518121	5.107436	-3.758322	33.97742
"MGC39662"	10.26994	1.460111	-3.558405	28.39265
"EFEMP1"	2104.389	2085.818	4830.701	2934.75
"ACPL2"	477.95	322.8815	505.8964	359.8135
"KLKB1"	12.1326	14.22918	7.827759	32.11179
"PBEF1"	38.57395	32.69895	45.24147	124.8793
"SH3BP4"	7958.823	5743.07	3601.137	4218.341
"CDH9"	303.666	288.1443	170.3147	294.9604
"C2orf18"	875.1254	649.9271	270.9055	229.6992
"C20orf28"	36.40926	42.67569	12.44568	35.31964
"BMP2"	874.0923	1224.477	505.5545	417.9203
"CHRNA4"	9.405146	11.7886	7.313483	39.40054
"COL21A1"	-2.76095	4.778876	-9.206015	27.7279
"DCP1A"	171.0472	166.487	180.6582	267.2798
"STAMBPL1"	1219.207	787.2578	1072.22	835.1508
"CCDC38"	-5.817128	1.548345	-6.259182	26.7191
"THRB"	28.7775	27.47378	21.80859	50.54907
"PRKCABP"	28.88303	32.3823	16.73007	47.25339
"ZCCHC14"	461.6249	431.7393	588.433	746.4454
"DEPDC4"	18.38805	22.07948	6.709099	41.20936
"MAN2A1"	1602.29	1227.671	4444.827	6615.356
"FLJ23049"	27.64878	29.03118	19.54746	49.65761
"HSPA14"	377.2114	713.3923	569.2925	550.1321
"ANKRD23"	7.707068	12.15455	0.003598244	36.81724
"ARHGAP26"	16.28672	29.13757	17.83327	47.27107
"PPP1R13B"	1307.639	1245.184	928.3082	1084.444
"DNCL2A"	3652.191	2579.57	1952.352	2015.875
"C17orf44"	29.74027	13.32907	7.450491	41.52033
"C16orf3"	17.11279	24.10449	11.50205	51.171
"ETFA"	6386.733	7791.088	6067.426	5523.578
"KCNA3"	18.44785	25.00518	8.020053	44.22823
"NPM1"	13731.07	13337.09	19595.97	25169.69
"CDK5R2"	30.2438	22.76132	25.0954	55.24699
"KPNA1"	1242.731	1249.805	682.8511	846.0382
"MMP16"	24.45786	29.73244	7.664127	38.26555
"ZNF571"	24.99343	23.70362	9.509371	46.02497
"C18orf24"	94.4658	71.9255	36.77833	50.39651
"HIST2H2BF"	10.8968	23.79931	-4.328409	27.96484
"CSEN"	912.3187	547.1718	632.8509	301.9088
"DGKZ"	-8.527577	2.666619	-8.054181	19.88519
"DLX1"	19.55179	22.0544	7.004637	57.34874
"CDC42SE2"	68.44019	42.60818	52.92757	90.38532
"TMPRSS2"	1.207575	13.01179	5.646859	23.46439
"MAP3K2"	50.24067	48.97112	222.9788	307.7665
"ALPK3"	29.03635	21.53455	11.90969	47.92315
"EXOSC9"	566.3416	821.4826	439.4691	460.7921
"DGCR6"	5171.276	6549.128	2763.113	2431.453
"CDKN2C"	56.48275	39.01484	23.55987	56.14127
"GPR20"	21.22088	12.77957	0.3708332	37.99223
"C18orf8"	1356.625	1190.844	1034.506	1078.211
"PRPF4B"	45.00423	23.78391	106.3642	160.8571
"FAM101B"	198.4056	383.363	95.95152	196.9521
"LGICZ1"	43.85874	35.75603	35.46312	71.23474
"CTAGE1"	-3.524789	0.8612859	-7.186953	30.50827
"TUBGCP2"	2013.793	1595.625	765.5669	765.7081
"ARNT2"	977.5317	546.2163	697.8804	408.9143
"VPS26B"	1414.934	1801.317	649.8416	705.6404
"HOXA10"	216.6236	353.796	254.8249	454.2335
"FGB"	7.694264	14.39669	-4.599932	27.68217
"ZNF137"	39.70463	48.47686	125.315	161.7334
"PPA2"	3151.32	4300.119	4309.496	4142.519
"CRYZL1"	69.64053	72.95933	89.67223	135.2843
"CDCA7"	130.5343	82.46392	112.7524	58.85332
"GPAA1"	1856.025	2074.461	637.3317	603.9025
"MOXD1"	158.2088	194.8661	115.2613	133.2079
"SLC7A11"	11.63117	14.21769	8.48865	28.28544
"RPL14"	4506.875	6062.896	3850.14	2822.031
"CASQ1"	16.21358	22.35284	11.3719	54.05832
"CD79B"	121.5071	105.4412	67.27687	125.8155
"DIRAS3"	119.9983	122.7411	83.10805	67.46866
"RABGAP1L"	93.19464	219.9659	286.5775	298.2379
"C3orf35"	11.27866	14.81136	1.8999	32.50949
"C1orf173"	16.68908	20.3315	19.13687	31.81017
"MANBA"	1805.492	1807.089	1418.901	1866.684
"RPRC1"	1660.091	2713.902	822.1066	1130.662
"PITPNM2"	7.640667	3.968063	1.841947	30.25387
"WDRPUH"	11.94399	14.61725	1.434033	32.23257
"MAGI1"	15.5396	41.16218	41.15457	87.18219
"PADI6"	5.303951	4.04289	-1.037789	31.02628
"C14orf126"	165.0908	129.9758	158.201	148.9833
"OR2L2"	4.406542	9.297565	-8.721815	23.8736
"TNKS"	47.63374	37.74758	26.08215	60.39634
"PHYH"	3028.927	3558.947	3253.191	2969.231
"KIAA1794"	207.6881	262.4012	332.3135	211.5208
"KCNG4"	4.717434	7.344389	0.7353808	33.32478
"NR2C2"	280.7328	454.145	127.7221	259.618
"FLJ25976"	37.72202	12.96714	0.2887877	44.93591
"QP-C"	22588.2	15889.26	14046.47	15536.34
"C16orf52"	120.1608	139.8569	132.0691	124.5276
"SCML1"	234.3039	169.959	573.1495	574.0057
"ATP6V1B1"	37.15602	21.90353	41.43246	60.18661
"NYX"	24.5323	34.07593	12.24994	47.35798
"ZNF80"	16.61926	11.41764	5.519126	45.15519
"KENAE"	70.39939	46.35297	38.3675	79.4276
"HOXA13"	16.97486	13.90513	5.786255	40.0952
"FHL2"	1.405682	4.69976	7.662921	21.24759
"CXorf45"	73.4793	53.47062	98.73148	126.1276
"GALC"	892.2274	960.6559	1101.964	1128.924
"XRCC6"	2020.155	2483.731	1142.794	999.0809
"C15orf20"	0.6299285	26.31045	3.949346	25.06604
"TRIM59"	6.573135	13.89997	8.609441	39.31374
"BMP8A"	12.20347	9.930045	-6.542225	31.23784
"PQLC3"	2403.976	2473.316	2682.405	2389.7
"HIATL2"	248.1904	287.9064	123.5659	168.562
"ATP6V1E1"	12530.68	12046.35	8065.152	8441.329
"ATP6V1G1"	4910.496	7643.908	7246.409	10635.4
"SEC6L1"	1095.83	1087.234	380.9605	410.3392
"C1orf187"	12.74957	23.75311	-1.535638	35.98194
"PSCA"	47.30911	16.67742	34.24964	74.83952
"ZNF528"	10.84848	10.54203	-5.464515	33.98463
"TGDS"	278.3003	423.8674	660.7308	760.2181
"HOXB13"	21.14084	17.24308	20.69797	62.59698
"ZNF236"	46.90364	38.24405	166.518	179.0813
"KCNA6"	96.04361	45.3295	61.447	76.11974
"RAB4B"	553.5176	634.7961	266.4445	416.3287
"PGPEP1"	111.9698	68.53065	54.22446	84.2898
"SDCCAG33"	572.9239	414.0826	380.9337	370.9697
"EIF3S7"	6870.897	6940.017	2595.494	2406.029
"SERF1A"	-0.1842771	-3.690835	-4.817811	17.00175
"MYL6"	41027.05	17551.5	22152.23	26861.37
"UFD1L"	312.45	452.5489	164.0646	226.8225
"SEC24B"	57.41423	44.87434	74.766	103.1611
"ADAM8"	31.91818	28.94368	23.343	52.52195
"PLA2G4E"	13.6364	22.63171	16.69999	46.98279
"KIAA1271"	197.7562	93.86146	59.6435	65.53963
"C21orf100"	3.150929	5.150374	-7.070658	33.70693
"SLC25A37"	457.5962	682.3479	347.3312	471.486
"DNAJC5B"	17.50626	16.06581	10.54863	42.14183
"NOL10"	106.6569	70.83553	91.68182	139.4637
"ACOT9"	1860.463	1930.464	914.0497	960.11
"FLJ11795"	107.084	65.23947	98.3293	56.80482
"ATHL1"	81.08045	34.97913	32.35287	77.54353
"EDG1"	78.61391	47.14015	72.0987	55.91193
"K5B"	13.28697	5.347727	-2.141516	22.30558
"TLR4"	87.18459	147.4818	88.25703	144.2924
"RNF113A"	1267.654	1927.554	693.131	839.2512
"IL1RL1"	-0.7545627	10.29123	4.032456	38.30945
"REV1L"	417.9052	501.3641	1117.742	1378.692
"ATP5J2"	12588.1	14993.05	7152.508	8251.716
"TAF9L"	73.44839	47.60884	284.875	458.0621
"COPS7A"	8625.503	6185.832	6209.711	5754.45
"DNAJC16"	90.31968	101.4549	80.12279	92.93708
"C8orf55"	4000.532	2598.79	2144.919	1863.457
"KIAA1219"	291.5161	229.8901	176.365	299.0642
"NBLA10383"	346.6647	448.1581	251.4082	317.4583
"KCNJ10"	742.7916	729.7205	371.9947	521.2596
"COL5A1"	7845.007	7139.725	3884.875	9844.22
"CUEDC1"	4377.141	1993.622	2383.998	2303.543
"TRIM52"	142.9729	113.4812	182.6589	195.412
"WBSCR23"	24.87406	21.38403	2.416417	37.77126
"PFDN2"	351.4253	390.2937	209.2391	328.3131
"EIF4A2"	19998.09	16726.26	16575.24	16465.09
"MEOX2"	2.273081	-3.384915	6.184007	35.96016
"LKAP"	2786.216	2047.954	3173.746	3604.427
"AGTRL1"	16.3121	17.63801	8.184152	36.61652
"PSMD2"	6293.301	7697.97	2792.901	4264.147
"PARD6B"	34.30877	17.42408	69.27351	57.9135
"SNX6"	1113.398	1073.002	1531.501	1552.509
"TLX2"	4.832092	19.19175	3.304734	26.22077
"SLC25A15"	567.3674	410.1266	368.4242	353.527
"METTL3"	939.8655	1119.029	843.7331	719.846
"ETAA16"	29.61443	25.6686	212.4959	275.768
"C1QR1"	4.499014	4.4524	0.5756183	33.96608
"OPRS1"	141.4214	238.7759	67.12738	88.58364
"DDX3X"	2471.793	2927.598	4224.33	4839.146
"LRRC1"	116.5906	79.35059	264.9402	251.4886
"FLJ25169"	9.174216	14.09137	1.602262	35.31692
"AMBP"	23.97959	20.19268	9.618472	41.53548
"HLXB9"	33.40465	32.73373	9.026152	37.74413
"RPL24"	15442.86	15101.27	13783.53	14814.13
"KLHL23"	121.3764	133.9994	227.4003	204.7128
"TEKT4"	2.817822	11.93966	1.463469	29.56253
"NALP10"	14.02635	14.66257	0.6257626	31.58368
"PCBD1"	1537.679	1725.009	748.6895	638.571
"CYB5-M"	8142.248	7444.205	7220.289	6302.544
"FAM44A"	32.93422	37.14571	16.14755	55.34607
"EDG6"	5.629692	5.839327	-3.323271	31.71309
"CORO7"	171.0907	108.5596	82.64669	139.9032
"COL20A1"	16.43954	13.04825	3.795961	41.31649
"PF4V1"	22.6623	25.9159	4.602699	44.61271
"CCND1"	8355.06	7734.488	7607.184	7123.457
"ALOX15B"	16.50806	10.1357	-3.853947	27.77993
"HIST3H2BB"	20.10026	41.64056	17.46772	44.93868
"ALAS2"	68.02852	34.53959	29.8524	63.61821
"ARHGDIG"	62.59592	69.868	52.52389	68.95959
"FLJ41603"	388.4422	221.4975	330.6784	322.1949
"DOCK5"	512.0632	426.6411	428.7867	429.292
"ATP6AP1"	16586.25	10845.61	9273.689	10560.06
"LOC284361"	207.319	361.3846	139.2762	185.9532
"PELI3"	65.2445	52.89648	29.85341	49.46109
"RPL27A"	3106.12	4384.144	5235.435	5419.748
"PRMT5"	1830.152	1600.194	886.2927	947.5826
"CRX"	39.38572	37.6214	28.15595	43.69172
"PFDN1"	1575.615	1777.519	863.0656	975.0339
"COQ2"	1476.209	2162.918	1569.048	1308.655
"ELMO3"	77.70441	82.24218	33.38859	47.80434
"PCGF5"	15.15847	27.07976	69.06239	83.80238
"VMD2"	159.0881	148.0333	67.86219	145.422
"TAS2R38"	11.01543	4.422157	-0.1663689	23.65082
"BRRN1"	27.29632	26.09961	15.05785	21.6241
"SEH1L"	186.1634	166.5635	199.3302	216.4265
"CAPZB"	3977.651	3511.641	1795.826	2242.833
"DCDC2"	24.85296	15.26732	30.83485	38.30886
"ZNF384"	254.0136	244.7842	168.5169	196.6085
"TEDDM1"	15.727	12.14102	26.84558	59.26699
"FLJ10803"	60.3114	66.06007	68.13588	88.56674
"ZNF253"	-1.501669	0.3880532	-1.514506	33.19332
"MLLT1"	4.012679	21.00292	-4.343618	34.44306
"EIF3S6"	7881.649	7701.297	17427.37	18725.37
"KIRREL3"	60.83802	59.84031	64.77861	99.78174
"DUSP7"	22.80722	13.85418	14.14819	35.99924
"GP1BB"	1036.598	663.3115	616.0427	746.2393
"BRCA2"	2.294019	9.57405	17.26757	70.58219
"NUP85"	1102.837	1244.974	615.8733	568.6204
"CHRNA7"	23.7985	28.64204	11.71685	43.09732
"KIAA1984"	180.6388	139.9637	104.0702	114.6605
"MGAT4A"	45.17908	75.41151	118.0667	135.0587
"PRKY"	32.1242	32.74836	18.13029	52.50252
"NCR1"	37.98069	30.92926	22.50788	53.53532
"ATP6V1C2"	-3.80518	8.817719	-5.685576	27.063
"NHN1"	433.2955	373.7561	335.0884	445.2405
"SH3BP1"	68.31221	71.9579	15.76783	59.56213
"MLC1SA"	10071.28	10524.64	4881.023	5241.813
"ARMCX4"	47.79501	36.68181	61.46297	91.87904
"GNG10"	979.8021	456.7975	1839.849	1734.898
"SLC24A5"	15.85249	12.6935	-4.982296	47.30104
"PGAM4"	7118.5	7503.508	4506.278	4760.153
"PPARD"	279.2453	295.5598	178.1706	229.2261
"PSRC2"	55.23553	18.72725	303.412	302.4075
"SPRR2G"	232.8993	846.022	35.78217	620.0229
"MAFK"	38.68103	34.42038	27.60177	61.88406
"EVX1"	27.34195	38.60912	15.1082	39.78821
"DDX58"	199.4519	165.6882	298.813	663.6812
"GPR81"	282.399	137.5867	298.4453	154.2441
"EIF3S3"	4122.252	5219.78	3060.902	3042.731
"IL7"	45.18242	25.30328	66.09226	51.39109
"AP1GBP1"	126.35	67.67161	43.6339	100.5897
