"GSM3433436"	"GSM3433437"	"GSM3433438"	"GSM3433439"
"COL4A2"	1032.908	1276.25	403.9688	1169.846
"ZNF193"	312.1227	494.0309	265.9958	411.4245
"DHRS4"	240.1241	310.5262	63.97057	100.4514
"ZNF480"	160.3531	80.53114	476.9227	600.4094
"ATAD2"	77.09641	48.98511	273.3109	208.2837
"SERPINB11"	1.696634	10.47803	-9.614566	22.32759
"ZNF554"	25.8881	24.46958	20.98775	60.74117
"ZNF101"	68.47471	83.95401	39.42723	73.10233
"HIST2H2AB"	76.19442	69.80246	58.2115	62.66273
"HTLF"	182.8764	83.2635	819.5662	1002.834
"C8G"	20.4072	13.72801	2.100726	39.60932
"THNSL1"	139.6769	118.4994	220.7224	230.2681
"BRD8"	3.665046	1.866091	-1.774969	23.70521
"CNNM2"	45.43521	28.09965	9.194178	49.68517
"TMEM17"	170.6797	183.5245	164.9738	216.5139
"PPGB"	2228.546	1828.983	792.6749	945.4198
"NTRK2"	19.03318	26.30218	14.79245	38.78232
"IL17B"	5.444876	30.27098	-2.295717	36.81357
"PRMT3"	101.4801	103.3602	117.7254	141.1976
"ABHD7"	52.89842	85.79552	45.35016	51.0533
"INHA"	51.23247	128.0645	32.51245	71.94715
"MARVELD3"	2.921547	15.28629	0.9723238	30.4433
"LOC115098"	478.552	956.6518	110.7897	131.3766
"FLJ42957"	2.907816	17.17479	-5.122092	29.40948
"ASF1A"	182.5067	201.7238	732.8367	1006.267
"C21orf37"	8.213033	8.307602	4.265449	21.44808
"OR8D2"	-5.999156	1.479994	-3.261164	17.92942
"MGC52498"	5.963822	3.733926	-5.989175	18.67407
"ZDHHC24"	884.0452	1063.883	385.0957	380.7639
"OR10H4"	17.86059	20.88098	0.3094381	41.0646
"FLJ30046"	437.1942	375.6484	548.3911	902.0569
"C1orf69"	100.556	102.068	45.21293	95.31478
"KIAA1026"	86.54948	49.08193	32.65828	65.90812
"HERC2"	922.6778	755.4355	785.4156	860.9487
"CCNG2"	72.86853	64.3189	62.6819	83.63807
"C1orf84"	131.9361	101.3538	167.5273	259.7932
"FLJ35119"	98.4218	117.6244	76.823	109.1804
"SCNM1"	896.8085	1223.896	334.7511	425.8927
"ATP5O"	20104.89	15814.97	14518.18	16052.32
"H3F3A"	22590.72	17160.88	17334.5	20060.61
"OR9G1"	-0.7229897	11.38448	-2.443159	29.01329
"SHANK2"	12.54881	38.2233	48.59031	66.11032
"SERPINB1"	441.7148	508.1152	292.5074	410.5281
"C19orf12"	404.7708	374.8	227.0683	231.5775
"ABCG4"	30.87068	44.02499	28.8363	66.15837
"TRIP4"	503.7424	695.5957	455.8561	624.812
"WFDC12"	11.13067	19.37049	7.847756	33.24082
"C22orf5"	1110.459	737.6077	616.0913	809.8062
"EYA2"	26.85351	28.65739	8.969295	53.98489
"BATF2"	15.20397	17.84528	-0.05688682	29.35854
"FLJ90709"	327.2969	492.9504	460.2377	577.9192
"AQP2"	22.75791	23.47113	6.251846	44.62845
"PCDHB3"	75.61338	103.3076	82.16412	128.2732
"UEV3"	87.21895	127.54	379.9909	384.1751
"IDI2"	13.53405	24.09075	11.06585	47.07827
"STEAP1"	514.5587	675.7252	867.0417	399.9011
"LRRC8C"	27.26654	124.5902	37.84809	75.53976
"DLC1"	36.61757	23.46483	10.21567	53.60326
"AIM2"	15.98877	3.696796	11.76231	43.1342
"FCHSD2"	365.2944	271.2025	473.197	509.6108
"APBA1"	17.79147	4.771452	11.25478	34.92809
"ABCD4"	75.63975	56.37859	26.47391	54.76911
"TRAF3"	191.5876	279.5042	101.2737	120.8999
"BCL11B"	50.61422	29.44496	16.15345	56.06588
"GZMH"	3.837501	12.7234	7.414409	27.72087
"PPP1R15A"	4601.514	2994.465	2394.387	3326.525
"ZNF175"	265.3145	969.3652	331.3507	878.9265
"MLX"	133.5981	136.7549	167.1364	218.399
"APITD1"	1273.917	1670.087	966.2631	870.1542
"MAP4K5"	333.088	286.4388	1215.244	1893.239
"LAT"	154.1357	116.286	94.68366	166.3005
"TCEA2"	2484.95	2099.301	1070.376	1015.127
"UGT1A6"	2.565081	0.7207665	-6.73483	23.27843
"ALDH5A1"	797.3574	682.5983	774.0815	407.5701
"ERAF"	31.81511	23.6862	17.51482	66.66535
"ABCB9"	56.11777	34.97026	27.10709	35.20329
"RELA"	174.1684	153.056	39.69512	96.0735
"FOXP4"	21.44666	62.57102	33.75087	72.99113
"GPS2"	1435.645	1648.542	521.6137	617.1251
"OCRL"	1838.694	1322.566	1169.959	1613.956
"STARD3"	352.1295	415.7898	174.8295	248.6785
"SP110"	1349.486	1155.423	1017.368	1151.927
"BIRC8"	25.14103	12.75959	6.518765	38.59655
"DDAH1"	1512.97	1659.332	4448.865	6177.013
"CUL5"	245.5093	80.97215	1197.293	1168.186
"TIAM2"	19.81632	16.21302	8.940827	43.57355
"FLJ43806"	35.04891	24.92548	23.38557	42.06806
"RAB27A"	-7.55705	6.408326	-1.407812	27.40764
"JOSD2"	685.0038	1015.114	233.8571	319.4906
"IL17"	-7.70305	0.3933057	-13.83507	13.23813
"DIAPH1"	2870.449	1902.263	1818.044	2187.3
"KLK10"	20.06736	17.1686	13.10449	37.23261
"AKAP8"	398.3935	425.8303	292.6633	295.1884
"USH2A"	131.7164	83.71526	136.9138	181.2298
"OR1J2"	-7.086504	5.26792	-4.831902	23.58249
"RPS7"	1494.448	1563.857	1014.747	704.5431
"OR5F1"	15.52873	17.34891	9.547016	44.12238
"PKD1L1"	25.83431	20.0612	26.02125	56.88062
"OXA1L"	1814.248	1774.426	587.8352	521.4333
"MGC15875"	585.6051	429.0481	293.9226	274.1181
"NPM3"	16.50047	22.36301	1.357312	31.33068
"CDR2"	1024.697	1370.739	1351.96	1999.543
"ZNF221"	-1.275652	15.9178	10.75714	28.66442
"SLC17A6"	26.16082	4.151567	-6.443873	35.53141
"C6orf105"	200.2208	287.7011	214.0689	253.7438
"RPL22"	4186.453	4565.09	5434.305	5517.63
"BLNK"	6.628778	17.89797	0.6353333	26.71163
"GPR173"	19.612	10.81784	-5.987678	40.93437
"TBC1D7"	1053.666	1658.738	717.0992	968.8322
"TMC4"	29.74746	47.95421	21.84097	64.2184
"FA2H"	65.57581	42.10567	20.97332	77.17027
"ZNF20"	391.68	381.9123	465.8923	613.7896
"FAM18B2"	123.0685	140.9131	84.3884	115.1277
"KIAA1524"	17.27727	18.34671	45.26773	65.50071
"RICS"	409.0308	421.6163	521.5468	500.2465
"CROP"	14.43935	15.66348	151.8079	220.7645
"DPAGT1"	1870.641	1127.452	1098.42	1364.967
"FBXO25"	37.21521	24.64167	18.27192	41.39704
"C14orf11"	1830.079	3341.263	2532.088	3817.468
"PTGER3"	26.12696	40.91903	29.99674	75.18012
"COL6A3"	1441.912	1363.461	792.4652	1713.963
"RNF149"	3685.863	4115.927	3796.715	3169.068
"TNFSF11"	11.26814	15.18599	1.007356	33.87832
"RSBN1L"	88.03336	108.2381	319.5049	321.6178
"CDA08"	1748.911	2000.717	2624.679	2226.868
"FLJ26443"	43.02462	21.09838	18.65236	48.62311
"CCNT1"	311.8091	413.1262	251.6147	292.8527
"OR2T8"	7.097834	14.35341	-3.061633	24.13366
"CLDN18"	13.191	16.16289	14.33217	36.74295
"AK3L2"	633.5212	397.7672	559.6534	519.1478
"C6orf163"	34.31189	21.03262	15.50377	62.65966
"NGFRAP1L1"	218.5232	246.8524	171.0541	214.2282
"SERPINA1"	0.9233444	11.47572	12.59118	22.85832
"LRRC52"	-8.049611	0.06477207	-13.14362	31.69046
"CCRL2"	23.69906	18.04619	5.014875	34.84434
"POU2F2"	86.02534	64.54046	75.86196	160.9356
"CTNNBL1"	1800.817	2157.698	1096.527	1133.517
"ABC1"	561.4086	335.3775	239.3389	356.1057
"PPIL4"	24.21877	18.85011	29.7423	92.17313
"KIRREL2"	25.53395	14.75859	1.812185	32.70191
"NEK11"	78.41962	80.96008	58.43936	92.09385
"MAPRE3"	914.1496	754.3853	398.0014	501.1721
"UBE3B"	871.8988	770.7627	642.3709	821.3091
"TGM3"	26.67163	33.93489	34.32363	49.36586
"MGC70863"	97.3334	94.77899	59.01456	106.0472
"LOC158318"	62.77005	37.33981	49.23996	71.5043
"DCUN1D2"	125.2372	118.0068	75.67822	114.8999
"CHRNA2"	42.5849	26.47128	29.51277	81.9735
"NOC2L"	474.6551	488.5659	216.2483	297.1031
"SPAG5"	204.7569	217.3211	134.9516	125.4139
"CHI3L2"	1698.162	2093.16	851.1832	666.1369
"PRSS16"	253.8248	105.8221	190.5928	252.3456
"C1orf189"	-1.270873	1.101078	-5.322541	17.86726
"POLA"	207.0313	187.8991	125.3304	302.4129
"TAS2R50"	17.07775	11.87006	-0.1553515	40.28176
"ZNF41"	29.48661	25.98286	16.30119	45.49038
"BAGE"	21.84603	28.50695	1.532867	43.15259
"CDH8"	70.95962	43.08171	138.1078	160.0721
"FAF1"	1259.139	1162.92	561.4179	585.4202
"IL18BP"	-0.2109428	-0.9502496	3.738274	30.29512
"ARL6"	12.89945	19.81773	42.29127	93.24023
"UNC13B"	396.0864	302.6361	227.6656	300.5443
"MBP"	5852.96	2993.691	6948.958	4496.273
"WHSC1"	29.08725	26.18126	10.74906	49.18694
"CCL19"	10.14758	14.2248	-1.709961	33.0465
"MBNL1"	175.041	118.1071	793.3193	1007.501
"COG5"	249.0286	162.9258	209.91	273.614
"EPHA3"	27.11232	21.8087	14.4743	40.30664
"GPX1"	14830.77	9471.541	7304.852	6772.191
"PPP2R3A"	34.04308	25.50219	19.36805	46.89699
"LMX1A"	-6.163615	0.9684386	-5.687722	10.39434
"SLC4A1"	18.66723	19.91325	11.27637	40.87428
"TREX2"	6.017547	13.93074	-5.01856	29.50597
"ARTS-1"	20.54675	16.52298	3.164171	44.00292
"ABCE1"	353.2473	200.6069	1233.771	922.1536
"SYN3"	5.953437	7.054672	-1.586498	24.09108
"POLQ"	52.40542	30.25028	97.4909	59.19915
"CHIT1"	52.86963	58.00593	37.6473	78.1408
"NFYA"	71.15467	52.45688	30.02393	66.74845
"C3orf24"	19.43604	1.909295	7.754927	37.88705
"UQCR"	554.7982	515.7917	160.1693	166.0075
"SH3GLB1"	576.7722	569.7668	557.9596	565.9474
"VARS"	1410.447	1087.354	675.7496	787.0604
"OSRF"	49.97841	46.9379	290.4545	425.3109
"RASGRP2"	13.43096	26.60701	22.29928	49.22864
"GBAS"	1327.299	2136.553	1827.492	1754.964
"LOC124842"	62.38096	54.94353	37.59772	116.0037
"OR2D2"	28.40633	11.08808	2.572022	39.35906
"DKFZP686A10121"	2.966202	14.66359	46.88771	66.54701
"PTPN21"	182.1106	163.5707	125.6549	255.4119
"ZNF222"	39.82008	121.4301	101.7393	159.2767
"SFRS14"	2405.137	1864.636	2156.402	2288.445
"COL8A1"	15141.8	10984.95	14464.89	20329.41
"USMG5"	910.8613	1180.916	1025.729	1054.779
"C6orf143"	0.7909207	1.11061	7.163182	39.61432
"ZNF579"	437.8123	451.0687	128.0083	176.4401
"ATP13A4"	14.45066	22.51685	17.96271	40.12752
"SPATA22"	21.56449	6.377604	-5.218145	23.4472
"ARHGAP21"	2182.315	1826.61	5720.002	5973.39
"DDX19A"	397.459	372.4196	193.7214	234.461
"DMRTA1"	17.96177	21.06143	65.65112	54.36094
"C20orf144"	2.712202	12.47672	-6.192801	26.53251
"HIST1H2AJ"	32.4196	14.83695	9.943714	48.15915
"MXI1"	160.5597	166.0227	228.0501	207.3931
"C7orf33"	5.249253	9.983808	0.796072	36.55312
"CEBPZ"	628.6002	422.5989	2763.646	2882.075
"CNO"	2262.479	2286.49	1141.38	1348.614
"SYVN1"	1773.577	1516.407	1469.828	1829.416
"TCERG1L"	28.16757	43.47569	8.967786	47.79233
"GENX-3414"	90.90639	163.8832	46.93807	104.4947
"LENG9"	9.631285	25.29225	31.94154	55.50486
"FLJ20625"	4835.645	5424.043	2384.302	2448.983
"LRRIQ2"	23.57565	10.89882	11.00416	41.51119
"VAMP1"	869.3223	700.0008	1142.462	1613.408
"CLK3"	435.2009	460.8375	157.751	193.5826
"PPRC1"	1315.862	1338.82	852.651	1147.609
"CXXC5"	2509.766	5000.899	1660.035	3125.473
"C6orf167"	40.94572	44.70776	58.77364	135.269
"POLR3H"	37.77896	66.3168	13.5583	51.30359
"MGC34821"	-0.2971551	-0.03308245	-12.3842	25.95756
"MGC48628"	7.385526	9.034352	1.249976	35.07167
"CDRT15"	-5.72028	14.61535	-7.754275	31.6709
"OR2G6"	1.024505	1.323246	-6.956847	22.41163
"CLCF1"	390.1913	795.4787	282.2506	498.8879
"FLJ22313"	247.3126	211.8196	189.2436	218.1865
"TIMP2"	11850.95	7280.086	8884.454	10987.88
"TCEAL5"	21.21096	27.88497	5.003492	47.43391
"CISH"	0.05437165	5.399647	-5.079356	42.49111
"HSPA12B"	7.24525	5.37911	-2.765982	31.271
"THEG"	9.062745	18.45065	3.961899	33.67538
"FLJ13149"	949.2976	1120.34	737.1094	888.5126
"AQP7"	99.31967	100.6185	65.70587	142.4496
"PCP4"	23.83014	21.05538	18.63873	34.14629
"DTNBP1"	229.4808	261.7895	123.4139	194.3961
"E2F1"	128.9883	79.02953	47.28821	53.19188
"FGF23"	27.60383	40.79108	24.29199	60.25465
